native_exec_time,mt1_exec_time,mt2_exec_time,mt1_overhead,mt2_overhead
26706,37353,28618,39.8674,7.15944
58039,81953,62341,41.2033,7.41226
66430,95117,90747,43.1838,36.6054
263093,401187,288901,52.4887,9.80946
235777,293142,236379,24.3302,0.255326
108572,146609,106924,35.0339,-1.51789
153077,164384,139351,7.38648,-8.96673
28265,41576,32794,47.0936,16.0234
25885,34116,25915,31.7983,0.115897
25746,34339,27340,33.3761,6.19125
233781,329098,246104,40.7719,5.27117
180013,242692,190884,34.8192,6.03901
30578,39747,36929,29.9856,20.7698
30810,39402,43320,27.887,40.6037
31027,45028,32443,45.1252,4.56377
70717,94026,73565,32.961,4.02732
233044,321974,295447,38.1602,26.7773
168323,218602,166524,29.8705,-1.06878
139722,175532,151060,25.6295,8.11468
110893,141147,115970,27.2822,4.57829
29130,39764,31151,36.5053,6.93786
33707,41953,33272,24.4638,-1.29053
62687,83473,69348,33.1584,10.6258
256126,351603,279882,37.2774,9.27512
102402,134584,121754,31.4271,18.8981
170353,227309,176837,33.4341,3.80621
185525,225386,208506,21.4855,12.387
43426,60396,49455,39.078,13.8834
41714,55414,39930,32.8427,-4.27674
256407,454354,340013,77.2003,32.6068
119689,152010,131351,27.0042,9.74359
93991,121406,104259,29.1677,10.9245
56522,68620,53616,21.4041,-5.14136
281178,353717,282658,25.7982,0.526357
192688,250764,203570,30.1399,5.64747
74489,109551,81933,47.07,9.99342
74396,98705,75167,32.6751,1.03635
140582,206397,159641,46.8161,13.5572
225610,292980,235790,29.8613,4.51221
245618,291857,233852,18.8256,-4.79037
194092,271098,262142,39.675,35.0607
29500,35019,26352,18.7085,-10.6712
283068,370809,307179,30.9964,8.51774
236897,309571,249941,30.6775,5.50619
155388,199853,162034,28.6155,4.27704
128717,161905,126748,25.7837,-1.52971
37382,48893,36920,30.7929,-1.23589
33730,49047,35264,45.4106,4.54788
244549,305505,237631,24.9259,-2.82888
201355,258917,203621,28.5873,1.12538
109978,140002,106409,27.3,-3.24519
26426,36883,29095,39.5709,10.0999
27860,39160,28718,40.5599,3.07968
85494,108943,86485,27.4277,1.15915
64101,92337,67950,44.0492,6.00459
67629,91304,70665,35.0072,4.4892
66975,84833,66919,26.6637,-0.0836133
153461,202202,162510,31.7612,5.89661
161142,248641,262921,54.2993,63.1611
61237,82027,68676,33.9501,12.1479
53561,81119,57636,51.4516,7.60815
43460,70324,50163,61.8132,15.4234
97377,141987,107818,45.8116,10.7222
34759,43104,35173,24.0082,1.19106
190708,274693,198807,44.0385,4.24681
192162,349083,237277,81.6608,23.4776
91417,120087,113795,31.3618,24.479
169183,248209,190365,46.7104,12.5202
281273,401298,317236,42.6721,12.7858
158775,212107,157852,33.5897,-0.581326
63739,85147,91512,33.587,43.573
62107,81919,64575,31.8998,3.97379
55417,69316,53227,25.0808,-3.95186
127512,154642,119591,21.2764,-6.21196
39869,41898,38035,5.08917,-4.60007
41299,47616,40206,15.2958,-2.64655
35969,50507,37280,40.4181,3.64481
36478,47801,37256,31.0406,2.13279
271303,355061,300263,30.8725,10.6744
144016,183506,144871,27.4206,0.593684
63364,80171,68057,26.5245,7.40641
59883,77602,60694,29.5894,1.35431
42158,54122,42932,28.379,1.83595
238549,325008,250448,36.2437,4.98807
157241,214919,175094,36.6813,11.3539
139550,172227,131971,23.416,-5.43103
66794,91222,76562,36.5721,14.6241
69039,85717,74523,24.1574,7.94334
107794,142518,123710,32.2133,14.7652
213222,281193,220979,31.878,3.63799
253112,330122,262189,30.4253,3.58616
86809,122963,93918,41.6478,8.18924
77039,103976,77956,34.9654,1.19031
239903,312198,261975,30.1351,9.20039
44189,48654,46011,10.1043,4.1232
36377,46467,38688,27.7373,6.35292
36994,46127,39943,24.6878,7.97156
102964,133309,106991,29.4715,3.91108
136860,193348,161529,41.2743,18.025
149302,189862,163631,27.1664,9.59733
99237,175481,119655,76.8302,20.575
267416,367503,309981,37.4275,15.9171
172089,231437,178974,34.4868,4.00084
72803,97782,77627,34.3104,6.6261
72089,96111,77398,33.3227,7.36451
35609,51049,40591,43.3598,13.9908
39335,47784,41684,21.4796,5.97178
41073,59300,42101,44.3771,2.50286
40758,62153,41074,52.4928,0.775308
45984,60737,47462,32.0829,3.21416
272999,372763,294738,36.5437,7.96303
155184,197878,157677,27.5119,1.60648
159165,208133,167067,30.7656,4.96466
90619,124785,92295,37.7029,1.8495
56129,73276,58667,30.5493,4.52173
249705,323432,274386,29.5256,9.88406
168156,223143,168372,32.7,0.128452
127314,176323,134767,38.4946,5.85403
44977,58206,46104,29.4128,2.50573
45754,58908,46976,28.7494,2.6708
298327,391431,359044,31.2087,20.3525
267950,335899,212812,25.3588,-20.5777
89574,118905,92176,32.745,2.90486
48138,63748,57669,32.4276,19.7993
271178,325950,275374,20.1978,1.54732
180109,223535,186007,24.111,3.27468
202796,276945,209736,36.5633,3.42216
138415,204788,142351,47.9522,2.84362
114194,148560,109732,30.0944,-3.90739
238418,296029,230550,24.1639,-3.30009
114112,152298,122807,33.4636,7.61971
173101,225310,170177,30.161,-1.68919
106368,136034,111988,27.89,5.28354
278537,334461,263024,20.0778,-5.56946
55604,63558,55206,14.3047,-0.715776
215430,296548,229958,37.654,6.74372
121414,163820,132620,34.9268,9.22958
116761,148750,116625,27.397,-0.116477
87494,114293,94667,30.6295,8.19828
272684,351029,284986,28.7311,4.51145
109262,142259,107525,30.1999,-1.58976
233170,244970,173818,5.06069,-25.4544
130327,114622,85747,-12.0505,-34.2063
236210,299004,249336,26.584,5.55692
173857,224996,181532,29.4144,4.41455
122681,167771,135810,36.7539,10.7017
131465,167398,131128,27.3328,-0.256342
278708,361448,282210,29.687,1.25651
171244,222814,177334,30.1149,3.55633
96073,117381,106454,22.179,10.8053
89718,117324,100501,30.7697,12.0188
70997,93608,76730,31.8478,8.07499
228883,305043,247171,33.2746,7.99011
225327,298252,249501,32.3641,10.7284
200305,279597,217296,39.5856,8.48256
260613,347385,277353,33.2953,6.42332
280209,356090,304385,27.0801,8.62785
121632,155094,120445,27.5109,-0.975895
148423,203353,143952,37.0091,-3.01234
120586,161014,125761,33.5263,4.29154
233775,326286,250949,39.5727,7.34638
139902,162554,164424,16.1913,17.528
121009,210801,132077,74.2027,9.14643
91058,117399,155743,28.9277,71.0371
96560,124554,109736,28.9913,13.6454
283127,389234,308248,37.4768,8.8727
160824,208681,172246,29.7574,7.10217
79764,107313,87663,34.5381,9.90296
65591,87633,76365,33.6052,16.426
132233,144698,114047,9.42654,-13.753
123626,161937,127843,30.9894,3.41109
202236,261748,228629,29.427,13.0506
122676,162393,126300,32.3755,2.95412
108377,142072,112514,31.0905,3.81723
82822,118286,93207,42.8195,12.5389
82588,112032,92325,35.6517,11.7898
250381,329951,253407,31.7796,1.20856
165301,216042,177061,30.6961,7.11429
201405,279672,217030,38.8605,7.758
62306,79094,62756,26.9444,0.722242
283973,369899,296181,30.2585,4.299
257709,321854,279390,24.8905,8.41298
204993,263023,211040,28.3083,2.94986
60646,77620,62013,27.9887,2.25406
67483,88302,73082,30.8507,8.2969
60878,82050,64874,34.7778,6.56395
60364,79039,64107,30.9373,6.20072
273969,357588,259148,30.5213,-5.40974
194160,272139,206418,40.1622,6.31335
30478,39894,41223,30.8944,35.2549
102596,118124,94534,15.1351,-7.85801
276059,372183,288126,34.8201,4.37117
249497,324221,264701,29.9499,6.09386
122053,165227,129246,35.3732,5.89334
131716,169762,151304,28.8849,14.8714
60763,80431,63706,32.3684,4.84341
252205,342715,283799,35.8875,12.5271
276902,433199,303091,56.4449,9.45786
99434,133044,124348,33.8013,25.0558
106784,118773,88782,11.2273,-16.8583
88930,124588,96009,40.0967,7.96019
169879,219870,192123,29.4274,13.094
222801,296053,240926,32.8778,8.13506
128737,169533,128266,31.6894,-0.365862
132570,174846,140945,31.8896,6.31742
207102,280414,218903,35.399,5.69816
203980,283075,212164,38.7759,4.01216
88224,118267,97306,34.0531,10.2943
80211,102736,84211,28.0822,4.98685
93169,119385,94812,28.1381,1.76346
249577,334447,268765,34.0055,7.68821
171516,236473,172879,37.8723,0.794678
211771,308148,253783,45.51,19.8384
132511,161123,133369,21.5922,0.647493
36476,50044,40376,37.1971,10.692
224313,289529,214260,29.0737,-4.48168
318367,361642,274386,13.5928,-13.8146
267258,341777,296241,27.8828,10.8446
268917,345315,260283,28.4095,-3.21066
162378,210692,204190,29.754,25.7498
127912,164930,128257,28.9402,0.269717
117760,189361,152005,60.8025,29.0803
248768,326070,256544,31.0739,3.1258
110540,160472,133071,45.171,20.3827
165592,217316,180030,31.2358,8.71902
172311,207813,166983,20.6034,-3.09208
269515,362450,301294,34.4823,11.7912
216196,276423,217202,27.8576,0.465319
152006,196409,154254,29.2113,1.47889
119168,164072,124740,37.6813,4.67575
91156,127208,96772,39.5498,6.16087
224005,298302,211342,33.1676,-5.653
231445,308519,254019,33.3012,9.75351
153062,208389,170398,36.1468,11.3261
84501,102710,94292,21.5489,11.5868
247148,319380,288506,29.2262,16.7341
137077,188925,148349,37.824,8.22312
210076,254629,225675,21.208,7.42541
26948,33930,29072,25.9092,7.88185
28490,34314,26919,20.4423,-5.51422
27602,34327,26059,24.3642,-5.59017
297807,382987,285737,28.6024,-4.05296
240948,318774,261931,32.2999,8.70852
85589,110837,105163,29.4991,22.8698
60156,75967,62995,26.2833,4.7194
280691,368727,283883,31.364,1.13719
233817,299141,239024,27.9381,2.22696
213908,302695,227185,41.5071,6.20687
78419,112181,89454,43.0533,14.0718
28821,36110,30019,25.2906,4.15669
31861,66049,36101,107.304,13.3078
90936,86205,70695,-5.20256,-22.2585
250680,310483,247169,23.8563,-1.40059
72116,106719,81393,47.9824,12.864
137948,173502,145387,25.7735,5.39261
69760,90343,71171,29.5054,2.02265
94969,124084,95298,30.6574,0.346429
27305,33744,28097,23.5818,2.90057
26721,34755,27119,30.0662,1.48947
34445,46637,38040,35.3956,10.4369
37084,44548,42411,20.1273,14.3647
279987,353966,282759,26.4223,0.990046
168167,217965,170317,29.6122,1.27849
103349,129896,100741,25.6868,-2.52349
249688,322707,248266,29.2441,-0.569511
249971,313958,248228,25.5978,-0.697281
85148,95691,66332,12.382,-22.098
63003,81571,66723,29.4716,5.90448
110998,165392,110592,49.0045,-0.365772
109931,140056,114908,27.4036,4.52739
211180,276463,220910,30.9134,4.60744
28180,40274,32355,42.917,14.8155
108118,157607,114752,45.7731,6.13589
