exec_key,instr_list,original_val,corrupted_val,affected_bit_pos,sdc,benign,crash,error,value_diff,dyn_instr_count,detection_count
Not Available,,,,,0,0,1,0,1.0,33619968,0
Not Available,,,,,0,0,1,0,1.0,33619968,0
Not Available,,,,,0,0,1,0,1.0,33619968,0
1461699637349931,"  %35 = getelementptr inbounds i32# i32* %34# i64 %3",140571836052356,140571835528068,19,1,0,0,0,187345.0,33619968,0
Not Available,,,,,0,0,1,0,1.0,33619968,0
Not Available,,,,,0,0,1,0,1.0,33619968,0
1461699641533957,"  %35 = getelementptr inbounds i32# i32* %34# i64 %3",140107643334188,140107642809900,19,1,0,0,0,34950.0,33619968,0
1461699643227719,"  %44 = getelementptr inbounds i32# i32* %43# i64 %4",139936619455756,139936619455748,3,1,0,0,0,454.0,33619968,0
Not Available,,,,,0,0,1,0,1.0,33619968,0
1461699645826311,"  %44 = getelementptr inbounds i32# i32* %43# i64 %4",140467467856844,140467467594700,18,1,0,0,0,1619107888.0,33619968,0
1461699647492092,"  %44 = getelementptr inbounds i32# i32* %43# i64 %4",139725188576404,139725188578452,11,1,0,0,0,412.0,33619968,0
1461699649236522,"  %35 = getelementptr inbounds i32# i32* %34# i64 %3",140087868090572,140087868123340,15,1,0,0,0,1888.0,33619968,0
Not Available,,,,,0,0,1,0,1.0,33619968,0
Not Available,,,,,0,0,1,0,1.0,33619968,0
1461699653107831,"  %44 = getelementptr inbounds i32# i32* %43# i64 %4",139843081609220,139843081609348,7,1,0,0,0,88085.0,33619968,0
Not Available,,,,,0,0,1,0,1.0,33619968,0
Not Available,,,,,0,0,1,0,1.0,33619968,0
Not Available,,,,,0,0,1,0,1.0,33619968,0
Not Available,,,,,0,0,1,0,1.0,33619968,0
Not Available,,,,,0,0,1,0,1.0,33619968,0
1461699659554065,"  %35 = getelementptr inbounds i32# i32* %34# i64 %3",140088574442556,140088574434364,13,1,0,0,0,280.0,33619968,0
Not Available,,,,,0,0,1,0,1.0,33619968,0
Not Available,,,,,0,0,1,0,1.0,33619968,0
1461699663570864,"  %44 = getelementptr inbounds i32# i32* %43# i64 %4",140072623787644,140072623787646,1,1,0,0,0,154204242.0,33619968,0
Not Available,,,,,0,0,1,0,1.0,33619968,0
Not Available,,,,,0,0,1,0,1.0,33619968,0
Not Available,,,,,0,0,1,0,1.0,33619968,0
Not Available,,,,,0,0,1,0,1.0,33619968,0
Not Available,,,,,0,0,1,0,1.0,33619968,0
Not Available,,,,,0,0,1,0,1.0,33619968,0
1461699670779432,"  %35 = getelementptr inbounds i32# i32* %34# i64 %3",140198776486552,140198776484504,11,1,0,0,0,788.0,33619968,0
Not Available,,,,,0,0,1,0,1.0,33619968,0
Not Available,,,,,0,0,1,0,1.0,33619968,0
